Against	Beneficiary	TotalCount	TotalYards
N.Y. Giants	Arizona	7	30
Arizona	N.Y. Giants	7	60
Philadelphia	Washington	12	66
Washington	Philadelphia	6	60
Baltimore	Denver	8	94
Denver	Baltimore	6	35
Houston	Buffalo	5	45
Buffalo	Houston	4	36
Chicago	Cleveland	5	35
Cleveland	Chicago	3	30
Dallas	Seattle	5	43
Seattle	Dallas	6	53
Detroit	St. Louis	8	67
St. Louis	Detroit	5	27
Green Bay	Minnesota	6	45
Minnesota	Green Bay	3	29
Indianapolis	San Francisco	5	38
San Francisco	Indianapolis	7	50
Miami	N.Y. Jets	4	25
N.Y. Jets	Miami	6	40
Oakland	San Diego	6	31
San Diego	Oakland	5	40
Jacksonville	Tennessee	2	27
Tennessee	Jacksonville	4	20
Arizona	Carolina	5	35
Carolina	Arizona	7	72
Philadelphia	N.Y. Giants	5	45
N.Y. Giants	Philadelphia	4	25
New Orleans	Atlanta	7	65
Atlanta	New Orleans	4	25
Washington	Atlanta	10	88
Atlanta	Washington	7	54
Chicago	Arizona	9	89
Arizona	Chicago	2	15
Cincinnati	Baltimore	6	40
Baltimore	Cincinnati	7	80
Houston	Indianapolis	13	103
Indianapolis	Houston	4	40
Jacksonville	Kansas City	5	31
Kansas City	Jacksonville	1	10
Miami	New England	3	35
New England	Miami	5	49
Green Bay	Tampa Bay	5	35
Tampa Bay	Green Bay	2	15
New Orleans	Carolina	7	55
Carolina	New Orleans	6	37
Detroit	Seattle	9	77
Seattle	Detroit	6	45
N.Y. Giants	San Diego	9	104
San Diego	N.Y. Giants	3	20
San Francisco	Tennessee	5	25
Tennessee	San Francisco	8	58
Dallas	Philadelphia	11	70
Philadelphia	Dallas	8	82
Denver	Pittsburgh	3	25
Pittsburgh	Denver	4	28
Chicago	San Francisco	10	75
San Francisco	Chicago	9	77
Atlanta	Carolina	4	26
Carolina	Atlanta	5	48
Miami	Tampa Bay	3	30
Tampa Bay	Miami	9	77
Detroit	Minnesota	4	40
Minnesota	Detroit	13	91
N.Y. Jets	Jacksonville	4	26
Jacksonville	N.Y. Jets	5	40
Cincinnati	Pittsburgh	7	87
Pittsburgh	Cincinnati	5	50
New Orleans	St. Louis	6	40
St. Louis	New Orleans	4	20
Tennessee	Buffalo	8	75
Buffalo	Tennessee	10	65
Washington	Denver	2	19
Denver	Washington	4	45
Kansas City	Oakland	5	35
Oakland	Kansas City	10	88
Seattle	Arizona	9	113
Arizona	Seattle	11	136
Green Bay	Dallas	12	100
Dallas	Green Bay	10	67
Philadelphia	San Diego	9	70
San Diego	Philadelphia	3	31
New England	Indianapolis	4	72
Indianapolis	New England	3	20
Cleveland	Baltimore	6	52
Baltimore	Cleveland	7	43
Miami	Carolina	5	30
Carolina	Miami	4	35
Indianapolis	Baltimore	5	40
Baltimore	Indianapolis	2	20
Washington	Dallas	5	27
Dallas	Washington	6	35
Cleveland	Detroit	8	69
Detroit	Cleveland	8	41
Green Bay	San Francisco	6	64
San Francisco	Green Bay	4	30
Jacksonville	Buffalo	6	50
Buffalo	Jacksonville	6	43
Pittsburgh	Kansas City	8	85
Kansas City	Pittsburgh	4	28
Seattle	Minnesota	10	64
Minnesota	Seattle	5	31
N.Y. Giants	Atlanta	8	64
Atlanta	N.Y. Giants	3	16
New Orleans	Tampa Bay	4	55
Tampa Bay	New Orleans	3	18
St. Louis	Arizona	7	50
Arizona	St. Louis	6	40
San Diego	Denver	1	15
Denver	San Diego	9	65
N.Y. Jets	New England	5	28
New England	N.Y. Jets	6	51
Cincinnati	Oakland	8	59
Oakland	Cincinnati	3	13
Chicago	Philadelphia	7	64
Philadelphia	Chicago	8	46
Tennessee	Houston	5	25
Houston	Tennessee	7	72
Green Bay	Detroit	7	57
Detroit	Green Bay	3	28
Dallas	Oakland	6	48
Oakland	Dallas	7	70
Denver	N.Y. Giants	8	61
N.Y. Giants	Denver	4	45
Atlanta	Tampa Bay	3	29
Tampa Bay	Atlanta	8	52
Buffalo	Miami	3	20
Miami	Buffalo	6	50
Cleveland	Cincinnati	4	30
Cincinnati	Cleveland	10	75
Houston	Indianapolis	10	129
Indianapolis	Houston	3	25
Chicago	Minnesota	6	44
Minnesota	Chicago	10	70
Carolina	N.Y. Jets	5	30
N.Y. Jets	Carolina	3	24
Philadelphia	Washington	7	60
Washington	Philadelphia	7	39
Seattle	St. Louis	7	52
St. Louis	Seattle	4	35
Tennessee	Arizona	6	38
Arizona	Tennessee	4	25
Kansas City	San Diego	5	25
San Diego	Kansas City	8	55
Jacksonville	San Francisco	6	60
San Francisco	Jacksonville	1	5
Baltimore	Pittsburgh	9	80
Pittsburgh	Baltimore	5	59
New Orleans	New England	4	36
New England	New Orleans	0	0
Buffalo	N.Y. Jets	1	5
N.Y. Jets	Buffalo	3	18
Atlanta	Philadelphia	6	30
Philadelphia	Atlanta	8	62
Tampa Bay	Carolina	5	50
Carolina	Tampa Bay	5	37
Chicago	St. Louis	4	35
St. Louis	Chicago	6	85
Cincinnati	Detroit	9	75
Detroit	Cincinnati	7	45
Indianapolis	Tennessee	5	40
Tennessee	Indianapolis	4	50
Jacksonville	Houston	4	45
Houston	Jacksonville	6	37
Kansas City	Denver	3	25
Denver	Kansas City	3	20
Oakland	Pittsburgh	9	70
Pittsburgh	Oakland	4	41
New Orleans	Washington	7	102
Washington	New Orleans	2	15
Cleveland	San Diego	4	30
San Diego	Cleveland	1	5
Arizona	Minnesota	6	50
Minnesota	Arizona	6	50
N.Y. Giants	Dallas	2	10
Dallas	N.Y. Giants	5	30
San Francisco	Seattle	8	57
Seattle	San Francisco	4	48
New England	Miami	6	82
Miami	New England	2	10
Baltimore	Green Bay	12	135
Green Bay	Baltimore	11	175
Cleveland	Pittsburgh	6	55
Pittsburgh	Cleveland	4	40
New Orleans	Atlanta	6	59
Atlanta	New Orleans	4	55
Detroit	Baltimore	4	40
Baltimore	Detroit	5	50
Chicago	Green Bay	13	109
Green Bay	Chicago	4	30
Seattle	Houston	7	63
Houston	Seattle	4	35
Denver	Indianapolis	7	65
Indianapolis	Denver	4	20
Miami	Jacksonville	4	27
Jacksonville	Miami	2	10
Kansas City	Buffalo	5	43
Buffalo	Kansas City	3	40
Cincinnati	Minnesota	11	85
Minnesota	Cincinnati	9	69
Carolina	New England	9	92
New England	Carolina	4	25
Tampa Bay	N.Y. Jets	6	34
N.Y. Jets	Tampa Bay	6	63
St. Louis	Tennessee	10	82
Tennessee	St. Louis	4	40
Washington	Oakland	7	45
Oakland	Washington	14	118
Dallas	San Diego	6	68
San Diego	Dallas	5	24
N.Y. Giants	Philadelphia	7	54
Philadelphia	N.Y. Giants	6	45
Arizona	San Francisco	11	78
San Francisco	Arizona	7	55
Indianapolis	Jacksonville	5	40
Jacksonville	Indianapolis	4	22
New Orleans	Dallas	4	30
Dallas	New Orleans	6	49
Baltimore	Chicago	4	26
Chicago	Baltimore	1	9
Buffalo	New England	11	124
New England	Buffalo	6	52
Detroit	Arizona	7	45
Arizona	Detroit	8	65
Kansas City	Cleveland	3	34
Cleveland	Kansas City	3	20
Atlanta	N.Y. Jets	4	25
N.Y. Jets	Atlanta	6	65
Philadelphia	San Francisco	4	69
San Francisco	Philadelphia	8	55
Green Bay	Pittsburgh	7	53
Pittsburgh	Green Bay	10	84
Houston	St. Louis	4	30
St. Louis	Houston	3	15
Tennessee	Miami	4	46
Miami	Tennessee	8	60
Denver	Oakland	7	72
Oakland	Denver	9	62
Cincinnati	San Diego	9	55
San Diego	Cincinnati	4	30
Seattle	Tampa Bay	6	50
Tampa Bay	Seattle	6	35
Carolina	Minnesota	6	49
Minnesota	Carolina	5	45
Washington	N.Y. Giants	6	52
N.Y. Giants	Washington	3	15
San Diego	Tennessee	6	45
Tennessee	San Diego	9	74
Buffalo	Atlanta	10	60
Atlanta	Buffalo	6	70
Kansas City	Cincinnati	6	40
Cincinnati	Kansas City	6	36
Oakland	Cleveland	13	126
Cleveland	Oakland	6	64
Seattle	Green Bay	8	86
Green Bay	Seattle	5	50
Miami	Houston	4	30
Houston	Miami	3	15
Carolina	N.Y. Giants	4	20
N.Y. Giants	Carolina	4	29
Jacksonville	New England	1	5
New England	Jacksonville	2	10
Tampa Bay	New Orleans	7	42
New Orleans	Tampa Bay	2	14
Denver	Philadelphia	9	95
Philadelphia	Denver	9	59
Baltimore	Pittsburgh	11	113
Pittsburgh	Baltimore	4	20
St. Louis	Arizona	4	20
Arizona	St. Louis	3	15
San Francisco	Detroit	4	29
Detroit	San Francisco	1	10
Indianapolis	N.Y. Jets	3	15
N.Y. Jets	Indianapolis	5	52
Washington	Dallas	4	33
Dallas	Washington	4	21
Minnesota	Chicago	4	47
Chicago	Minnesota	3	31
Indianapolis	Buffalo	3	15
Buffalo	Indianapolis	4	40
New Orleans	Carolina	4	35
Carolina	New Orleans	3	29
Cleveland	Jacksonville	3	15
Jacksonville	Cleveland	3	20
Dallas	Philadelphia	11	80
Philadelphia	Dallas	6	58
Detroit	Chicago	6	35
Chicago	Detroit	5	35
Houston	New England	5	35
New England	Houston	4	55
Pittsburgh	Miami	5	40
Miami	Pittsburgh	3	45
N.Y. Giants	Minnesota	13	95
Minnesota	N.Y. Giants	8	45
Cincinnati	N.Y. Jets	7	44
N.Y. Jets	Cincinnati	4	20
St. Louis	San Francisco	7	50
San Francisco	St. Louis	6	40
Atlanta	Tampa Bay	3	15
Tampa Bay	Atlanta	5	51
Green Bay	Arizona	4	19
Arizona	Green Bay	7	76
Kansas City	Denver	5	76
Denver	Kansas City	5	54
Oakland	Baltimore	5	30
Baltimore	Oakland	5	37
San Diego	Washington	2	17
Washington	San Diego	3	14
Tennessee	Seattle	9	76
Seattle	Tennessee	5	40
Dallas	Philadelphia	14	112
Philadelphia	Dallas	9	116
N.Y. Jets	Cincinnati	9	76
Cincinnati	N.Y. Jets	6	55
Arizona	Green Bay	9	56
Green Bay	Arizona	8	76
Baltimore	New England	3	15
New England	Baltimore	5	41
Baltimore	Indianapolis	7	64
Indianapolis	Baltimore	4	25
Arizona	New Orleans	3	22
New Orleans	Arizona	6	44
Dallas	Minnesota	2	10
Minnesota	Dallas	8	50
San Diego	N.Y. Jets	10	87
N.Y. Jets	San Diego	5	37
Indianapolis	N.Y. Jets	1	5
N.Y. Jets	Indianapolis	6	46
Minnesota	New Orleans	5	32
New Orleans	Minnesota	9	88
Indianapolis	New Orleans	5	45
New Orleans	Indianapolis	3	19
Minnesota	New Orleans	6	60
New Orleans	Minnesota	3	20
Tampa Bay	Cleveland	6	55
Cleveland	Tampa Bay	5	47
Miami	Buffalo	3	15
Buffalo	Miami	5	35
New England	Cincinnati	6	30
Cincinnati	New England	2	5
Houston	Indianapolis	7	50
Indianapolis	Houston	5	73
Denver	Jacksonville	7	70
Jacksonville	Denver	5	47
Oakland	Tennessee	10	77
Tennessee	Oakland	8	81
N.Y. Giants	Carolina	9	95
Carolina	N.Y. Giants	7	63
Detroit	Chicago	7	40
Chicago	Detroit	9	100
Arizona	St. Louis	10	72
St. Louis	Arizona	5	40
Pittsburgh	Atlanta	4	25
Atlanta	Pittsburgh	3	24
Philadelphia	Green Bay	10	80
Green Bay	Philadelphia	2	15
Seattle	San Francisco	5	35
San Francisco	Seattle	8	60
Dallas	Washington	12	91
Washington	Dallas	5	42
N.Y. Jets	Baltimore	14	125
Baltimore	N.Y. Jets	5	38
San Diego	Kansas City	5	30
Kansas City	San Diego	3	35
Washington	Houston	7	58
Houston	Washington	5	45
Buffalo	Green Bay	4	35
Green Bay	Buffalo	6	49
Miami	Minnesota	2	15
Minnesota	Miami	7	44
Kansas City	Cleveland	4	30
Cleveland	Kansas City	9	78
Tennessee	Pittsburgh	11	72
Pittsburgh	Tennessee	5	35
Chicago	Dallas	2	10
Dallas	Chicago	6	50
Detroit	Philadelphia	9	51
Philadelphia	Detroit	9	75
Arizona	Atlanta	10	109
Atlanta	Arizona	6	75
Tampa Bay	Carolina	4	30
Carolina	Tampa Bay	4	48
Seattle	Denver	7	64
Denver	Seattle	3	35
Oakland	St. Louis	12	90
St. Louis	Oakland	8	92
New England	N.Y. Jets	6	79
N.Y. Jets	New England	6	58
Cincinnati	Baltimore	9	56
Baltimore	Cincinnati	5	45
San Diego	Jacksonville	4	25
Jacksonville	San Diego	5	33
Indianapolis	N.Y. Giants	6	55
N.Y. Giants	Indianapolis	3	25
San Francisco	New Orleans	5	40
New Orleans	San Francisco	5	54
Tennessee	N.Y. Giants	8	80
N.Y. Giants	Tennessee	11	86
Carolina	Cincinnati	6	45
Cincinnati	Carolina	8	69
Tampa Bay	Pittsburgh	4	45
Pittsburgh	Tampa Bay	2	20
Buffalo	New England	6	45
New England	Buffalo	4	35
Baltimore	Cleveland	8	60
Cleveland	Baltimore	8	60
Minnesota	Detroit	12	100
Detroit	Minnesota	8	67
Atlanta	New Orleans	6	40
New Orleans	Atlanta	4	38
Washington	St. Louis	9	65
St. Louis	Washington	9	99
Dallas	Houston	8	49
Houston	Dallas	5	32
San Francisco	Kansas City	6	55
Kansas City	San Francisco	7	40
Jacksonville	Philadelphia	4	67
Philadelphia	Jacksonville	7	84
Denver	Indianapolis	6	60
Indianapolis	Denver	4	27
Oakland	Arizona	11	123
Arizona	Oakland	7	104
Seattle	San Diego	5	32
San Diego	Seattle	11	83
N.Y. Jets	Miami	9	81
Miami	N.Y. Jets	6	52
Chicago	Green Bay	5	38
Green Bay	Chicago	18	152
Buffalo	N.Y. Jets	3	32
N.Y. Jets	Buffalo	4	30
Cleveland	Cincinnati	7	44
Cincinnati	Cleveland	8	79
Baltimore	Pittsburgh	7	52
Pittsburgh	Baltimore	11	88
Tennessee	Denver	10	111
Denver	Tennessee	6	74
