Against	Beneficiary	TotalCount	TotalYards
San Francisco	Buffalo	7	53
Buffalo	San Francisco	5	30
New Orleans	San Diego	10	99
San Diego	New Orleans	7	56
N.Y. Jets	Houston	5	25
Houston	N.Y. Jets	7	50
Pittsburgh	Tennessee	4	50
Tennessee	Pittsburgh	5	45
Oakland	Atlanta	12	110
Atlanta	Oakland	2	25
Kansas City	Tampa Bay	7	55
Tampa Bay	Kansas City	6	33
N.Y. Jets	Indianapolis	8	110
Indianapolis	N.Y. Jets	3	27
Cleveland	Cincinnati	5	35
Cincinnati	Cleveland	7	50
Philadelphia	Detroit	9	60
Detroit	Philadelphia	16	132
St. Louis	Miami	12	94
Miami	St. Louis	5	40
Dallas	Baltimore	13	82
Baltimore	Dallas	10	76
Arizona	Buffalo	7	67
Buffalo	Arizona	5	39
New England	Seattle	6	80
Seattle	New England	4	35
N.Y. Giants	San Francisco	2	20
San Francisco	N.Y. Giants	6	35
Washington	Minnesota	7	66
Minnesota	Washington	5	29
Houston	Green Bay	7	69
Green Bay	Houston	4	51
Denver	San Diego	10	81
San Diego	Denver	9	64
San Francisco	Seattle	5	40
Seattle	San Francisco	3	20
Washington	N.Y. Giants	7	55
N.Y. Giants	Washington	3	30
Minnesota	Arizona	7	35
Arizona	Minnesota	9	82
Dallas	Carolina	6	43
Carolina	Dallas	9	71
New Orleans	Tampa Bay	7	55
Tampa Bay	New Orleans	7	55
Green Bay	St. Louis	3	30
St. Louis	Green Bay	6	30
Houston	Baltimore	5	60
Baltimore	Houston	5	56
Indianapolis	Cleveland	7	50
Cleveland	Indianapolis	9	75
Buffalo	Tennessee	8	65
Tennessee	Buffalo	3	25
New England	N.Y. Jets	6	40
N.Y. Jets	New England	8	60
Jacksonville	Oakland	6	92
Oakland	Jacksonville	9	58
Pittsburgh	Cincinnati	5	50
Cincinnati	Pittsburgh	2	20
Chicago	Detroit	9	49
Detroit	Chicago	5	47
Tampa Bay	Minnesota	4	49
Minnesota	Tampa Bay	5	32
Jacksonville	Green Bay	7	77
Green Bay	Jacksonville	5	33
N.Y. Jets	Miami	5	45
Miami	N.Y. Jets	4	31
San Diego	Cleveland	3	15
Cleveland	San Diego	4	35
Tennessee	Indianapolis	8	65
Indianapolis	Tennessee	5	45
New England	St. Louis	8	42
St. Louis	New England	12	102
Atlanta	Philadelphia	6	40
Philadelphia	Atlanta	6	57
Carolina	Chicago	3	21
Chicago	Carolina	5	40
Seattle	Detroit	2	10
Detroit	Seattle	5	61
Washington	Pittsburgh	7	55
Pittsburgh	Washington	3	20
Kansas City	Oakland	5	40
Oakland	Kansas City	2	20
N.Y. Giants	Dallas	5	45
Dallas	N.Y. Giants	3	10
Denver	New Orleans	5	34
New Orleans	Denver	3	15
Arizona	San Francisco	7	51
San Francisco	Arizona	10	80
San Diego	Kansas City	8	54
Kansas City	San Diego	5	37
Carolina	Washington	7	60
Washington	Carolina	13	97
Green Bay	Arizona	1	5
Arizona	Green Bay	8	57
Jacksonville	Detroit	3	40
Detroit	Jacksonville	5	42
Chicago	Tennessee	5	37
Tennessee	Chicago	9	68
Denver	Cincinnati	5	29
Cincinnati	Denver	8	83
Cleveland	Baltimore	4	31
Baltimore	Cleveland	9	82
Houston	Buffalo	7	42
Buffalo	Houston	3	15
Indianapolis	Miami	11	91
Miami	Indianapolis	8	79
Seattle	Minnesota	4	49
Minnesota	Seattle	6	33
Tampa Bay	Oakland	14	116
Oakland	Tampa Bay	9	80
N.Y. Giants	Pittsburgh	7	40
Pittsburgh	N.Y. Giants	6	119
Dallas	Atlanta	7	50
Atlanta	Dallas	2	15
New Orleans	Philadelphia	4	35
Philadelphia	New Orleans	7	58
Indianapolis	Jacksonville	6	40
Jacksonville	Indianapolis	10	115
Carolina	Denver	7	45
Denver	Carolina	7	60
Tampa Bay	San Diego	1	5
San Diego	Tampa Bay	1	5
Tennessee	Miami	4	39
Miami	Tennessee	7	67
Buffalo	New England	14	148
New England	Buffalo	7	73
Oakland	Baltimore	10	105
Baltimore	Oakland	4	41
N.Y. Giants	Cincinnati	1	5
Cincinnati	N.Y. Giants	5	40
Atlanta	New Orleans	6	53
New Orleans	Atlanta	5	35
Detroit	Minnesota	6	57
Minnesota	Detroit	7	47
Seattle	N.Y. Jets	7	45
N.Y. Jets	Seattle	6	35
Dallas	Philadelphia	13	75
Philadelphia	Dallas	6	50
St. Louis	San Francisco	13	85
San Francisco	St. Louis	7	66
Houston	Chicago	3	35
Chicago	Houston	5	49
Pittsburgh	Kansas City	2	19
Kansas City	Pittsburgh	6	76
Buffalo	Miami	11	100
Miami	Buffalo	6	69
Washington	Philadelphia	13	80
Philadelphia	Washington	9	70
Green Bay	Detroit	9	80
Detroit	Green Bay	7	50
Arizona	Atlanta	5	43
Atlanta	Arizona	5	35
Carolina	Tampa Bay	11	91
Tampa Bay	Carolina	6	50
Dallas	Cleveland	9	92
Cleveland	Dallas	12	129
St. Louis	N.Y. Jets	5	30
N.Y. Jets	St. Louis	3	20
New England	Indianapolis	4	70
Indianapolis	New England	1	5
Jacksonville	Houston	6	54
Houston	Jacksonville	2	20
Cincinnati	Kansas City	9	54
Kansas City	Cincinnati	5	30
Oakland	New Orleans	4	40
New Orleans	Oakland	7	74
San Diego	Denver	10	65
Denver	San Diego	4	30
Baltimore	Pittsburgh	4	68
Pittsburgh	Baltimore	6	43
Chicago	San Francisco	6	55
San Francisco	Chicago	5	50
Houston	Detroit	8	65
Detroit	Houston	7	70
Washington	Dallas	5	41
Dallas	Washington	7	45
New England	N.Y. Jets	8	36
N.Y. Jets	New England	5	35
Cincinnati	Oakland	3	25
Oakland	Cincinnati	3	25
Pittsburgh	Cleveland	9	68
Cleveland	Pittsburgh	10	90
Indianapolis	Buffalo	6	37
Buffalo	Indianapolis	4	46
Tennessee	Jacksonville	6	42
Jacksonville	Tennessee	5	30
Denver	Kansas City	4	35
Kansas City	Denver	7	50
Minnesota	Chicago	3	44
Chicago	Minnesota	5	55
Atlanta	Tampa Bay	2	15
Tampa Bay	Atlanta	5	24
Seattle	Miami	10	59
Miami	Seattle	2	15
San Diego	Baltimore	5	37
Baltimore	San Diego	6	60
San Francisco	New Orleans	10	68
New Orleans	San Francisco	4	53
Arizona	St. Louis	7	56
St. Louis	Arizona	10	84
Green Bay	N.Y. Giants	7	49
N.Y. Giants	Green Bay	4	24
Carolina	Philadelphia	6	101
Philadelphia	Carolina	5	30
New Orleans	Atlanta	5	30
Atlanta	New Orleans	5	25
Seattle	Chicago	8	55
Chicago	Seattle	5	45
Minnesota	Green Bay	5	48
Green Bay	Minnesota	10	78
San Francisco	St. Louis	11	97
St. Louis	San Francisco	7	60
N.Y. Jets	Arizona	3	20
Arizona	N.Y. Jets	4	30
Carolina	Kansas City	7	45
Kansas City	Carolina	1	5
Indianapolis	Detroit	4	36
Detroit	Indianapolis	8	61
Buffalo	Jacksonville	9	100
Jacksonville	Buffalo	8	74
New England	Miami	6	50
Miami	New England	8	92
Tennessee	Houston	4	35
Houston	Tennessee	11	97
Tampa Bay	Denver	11	80
Denver	Tampa Bay	8	75
Baltimore	Pittsburgh	8	70
Pittsburgh	Baltimore	4	50
Oakland	Cleveland	10	65
Cleveland	Oakland	2	25
San Diego	Cincinnati	8	55
Cincinnati	San Diego	8	55
Philadelphia	Dallas	1	5
Dallas	Philadelphia	7	60
N.Y. Giants	Washington	9	73
Washington	N.Y. Giants	4	56
Oakland	Denver	11	94
Denver	Oakland	3	25
Washington	Baltimore	8	70
Baltimore	Washington	8	56
Cleveland	Kansas City	7	55
Kansas City	Cleveland	5	35
Pittsburgh	San Diego	8	52
San Diego	Pittsburgh	6	51
Tennessee	Indianapolis	9	70
Indianapolis	Tennessee	6	43
Jacksonville	N.Y. Jets	7	54
N.Y. Jets	Jacksonville	1	15
Minnesota	Chicago	7	54
Chicago	Minnesota	10	80
Carolina	Atlanta	3	10
Atlanta	Carolina	3	15
Tampa Bay	Philadelphia	8	60
Philadelphia	Tampa Bay	2	13
St. Louis	Buffalo	2	17
Buffalo	St. Louis	2	15
Dallas	Cincinnati	6	49
Cincinnati	Dallas	8	70
San Francisco	Miami	6	45
Miami	San Francisco	5	43
N.Y. Giants	New Orleans	6	55
New Orleans	N.Y. Giants	10	81
Arizona	Seattle	9	79
Seattle	Arizona	10	97
Green Bay	Detroit	7	50
Detroit	Green Bay	5	55
Houston	New England	7	70
New England	Houston	6	56
Philadelphia	Cincinnati	9	76
Cincinnati	Philadelphia	11	94
Chicago	Green Bay	10	91
Green Bay	Chicago	8	104
N.Y. Giants	Atlanta	2	25
Atlanta	N.Y. Giants	3	30
New Orleans	Tampa Bay	6	55
Tampa Bay	New Orleans	7	84
St. Louis	Minnesota	8	47
Minnesota	St. Louis	3	49
Washington	Cleveland	6	45
Cleveland	Washington	5	30
Jacksonville	Miami	10	88
Miami	Jacksonville	5	41
Denver	Baltimore	7	51
Baltimore	Denver	6	61
Indianapolis	Houston	8	79
Houston	Indianapolis	9	69
Arizona	Detroit	6	50
Detroit	Arizona	7	63
San Diego	Carolina	9	70
Carolina	San Diego	6	48
Buffalo	Seattle	4	20
Seattle	Buffalo	4	32
Dallas	Pittsburgh	8	61
Kansas City	Oakland	7	60
Oakland	Kansas City	5	62
New England	San Francisco	8	73
San Francisco	New England	6	88
Tennessee	N.Y. Jets	14	111
N.Y. Jets	Tennessee	4	23
Atlanta	Detroit	3	20
Detroit	Atlanta	2	20
Tennessee	Green Bay	5	35
Green Bay	Tennessee	1	10
Carolina	Oakland	10	97
Oakland	Carolina	6	70
Buffalo	Miami	11	93
Miami	Buffalo	3	25
Pittsburgh	Cincinnati	5	63
Cincinnati	Pittsburgh	7	55
Jacksonville	New England	5	47
New England	Jacksonville	4	39
Kansas City	Indianapolis	9	75
Indianapolis	Kansas City	4	48
Dallas	New Orleans	5	32
New Orleans	Dallas	6	42
Washington	Philadelphia	3	24
Philadelphia	Washington	4	30
St. Louis	Tampa Bay	9	64
Tampa Bay	St. Louis	1	5
Baltimore	N.Y. Giants	9	92
N.Y. Giants	Baltimore	6	52
Minnesota	Houston	5	52
Houston	Minnesota	9	60
Cleveland	Denver	10	69
Denver	Cleveland	11	84
Arizona	Chicago	4	25
Chicago	Arizona	2	12
San Francisco	Seattle	6	58
Seattle	San Francisco	4	45
San Diego	N.Y. Jets	5	53
N.Y. Jets	San Diego	6	40
Buffalo	N.Y. Jets	4	24
N.Y. Jets	Buffalo	4	45
Miami	New England	3	23
New England	Miami	6	48
Cincinnati	Baltimore	4	40
Baltimore	Cincinnati	10	102
Cleveland	Pittsburgh	9	79
Pittsburgh	Cleveland	3	58
Houston	Indianapolis	9	64
Indianapolis	Houston	3	24
Jacksonville	Tennessee	7	35
Tennessee	Jacksonville	5	43
Philadelphia	N.Y. Giants	6	52
N.Y. Giants	Philadelphia	1	5
Dallas	Washington	1	6
Washington	Dallas	2	20
Chicago	Detroit	3	35
Detroit	Chicago	4	29
Green Bay	Minnesota	7	43
Minnesota	Green Bay	10	98
Atlanta	Tampa Bay	2	15
Tampa Bay	Atlanta	2	15
Carolina	New Orleans	4	36
New Orleans	Carolina	5	55
Denver	Kansas City	5	30
Kansas City	Denver	5	32
Oakland	San Diego	9	67
San Diego	Oakland	8	60
Arizona	San Francisco	5	34
San Francisco	Arizona	3	25
St. Louis	Seattle	14	98
Seattle	St. Louis	10	80
Houston	Cincinnati	7	55
Cincinnati	Houston	5	51
Minnesota	Green Bay	4	30
Green Bay	Minnesota	2	10
Indianapolis	Baltimore	5	37
Baltimore	Indianapolis	9	70
Seattle	Washington	4	30
Washington	Seattle	3	15
Denver	Baltimore	10	87
Baltimore	Denver	8	58
Green Bay	San Francisco	5	26
San Francisco	Green Bay	8	86
New England	Houston	5	56
Houston	New England	3	20
Seattle	Atlanta	6	35
Atlanta	Seattle	3	11
New England	Baltimore	4	40
Baltimore	New England	5	60
San Francisco	Atlanta	4	24
Atlanta	San Francisco	2	30
San Francisco	Baltimore	5	33
Baltimore	San Francisco	2	20
Baltimore	Denver	7	53
Denver	Baltimore	8	61
Buffalo	New England	10	75
New England	Buffalo	4	36
Seattle	Carolina	9	109
Carolina	Seattle	4	46
Cincinnati	Chicago	8	84
Chicago	Cincinnati	4	59
Cleveland	Miami	9	57
Miami	Cleveland	10	77
Minnesota	Detroit	5	52
Detroit	Minnesota	11	88
Indianapolis	Oakland	3	31
Oakland	Indianapolis	8	51
Jacksonville	Kansas City	5	30
Kansas City	Jacksonville	3	20
Tampa Bay	N.Y. Jets	13	102
N.Y. Jets	Tampa Bay	6	45
New Orleans	Atlanta	6	57
Atlanta	New Orleans	2	19
Tennessee	Pittsburgh	6	60
Pittsburgh	Tennessee	4	47
St. Louis	Arizona	7	59
Arizona	St. Louis	6	68
San Francisco	Green Bay	11	85
Green Bay	San Francisco	5	44
Dallas	N.Y. Giants	5	40
N.Y. Giants	Dallas	6	52
Washington	Philadelphia	10	75
Philadelphia	Washington	8	65
Houston	San Diego	7	73
San Diego	Houston	7	55
N.Y. Jets	New England	8	66
New England	N.Y. Jets	3	30
St. Louis	Atlanta	7	53
Atlanta	St. Louis	7	53
Cleveland	Baltimore	5	33
Baltimore	Cleveland	3	41
Buffalo	Carolina	7	55
Carolina	Buffalo	3	30
Chicago	Minnesota	4	35
Minnesota	Chicago	3	25
Washington	Green Bay	7	78
Green Bay	Washington	4	40
Houston	Tennessee	5	40
Tennessee	Houston	9	70
Indianapolis	Miami	3	13
Kansas City	Dallas	10	45
Dallas	Kansas City	5	27
Philadelphia	San Diego	9	82
San Diego	Philadelphia	4	32
Detroit	Arizona	8	101
Arizona	Detroit	7	40
Tampa Bay	New Orleans	10	118
New Orleans	Tampa Bay	5	35
Denver	N.Y. Giants	13	132
N.Y. Giants	Denver	4	16
Oakland	Jacksonville	5	30
Jacksonville	Oakland	10	70
Seattle	San Francisco	10	84
San Francisco	Seattle	12	121
Cincinnati	Pittsburgh	9	84
Pittsburgh	Cincinnati	3	29
Kansas City	Philadelphia	9	65
Philadelphia	Kansas City	6	45
Houston	Baltimore	14	113
Baltimore	Houston	10	87
Green Bay	Cincinnati	4	55
Cincinnati	Green Bay	5	43
St. Louis	Dallas	5	41
Dallas	St. Louis	6	72
Atlanta	Miami	7	59
Miami	Atlanta	2	13
Minnesota	Cleveland	4	35
Cleveland	Minnesota	5	47
N.Y. Jets	Buffalo	20	168
Buffalo	N.Y. Jets	7	87
Tampa Bay	New England	4	48
New England	Tampa Bay	6	50
New Orleans	Arizona	4	30
Arizona	New Orleans	3	18
Tennessee	San Diego	11	116
San Diego	Tennessee	5	45
Washington	Detroit	6	45
Detroit	Washington	8	71
N.Y. Giants	Carolina	6	45
Carolina	N.Y. Giants	4	32
San Francisco	Indianapolis	6	48
Indianapolis	San Francisco	1	10
Seattle	Jacksonville	4	24
Jacksonville	Seattle	4	45
Pittsburgh	Chicago	6	59
Chicago	Pittsburgh	3	25
Denver	Oakland	5	40
Oakland	Denver	8	77
St. Louis	San Francisco	8	82
San Francisco	St. Louis	10	85
Baltimore	Buffalo	8	59
Buffalo	Baltimore	11	99
Cleveland	Cincinnati	5	80
Cincinnati	Cleveland	3	25
Detroit	Chicago	3	25
Chicago	Detroit	4	30
Houston	Seattle	6	86
Seattle	Houston	9	62
Jacksonville	Indianapolis	9	65
Indianapolis	Jacksonville	7	58
N.Y. Giants	Kansas City	7	65
Kansas City	N.Y. Giants	7	62
Pittsburgh	Minnesota	4	50
Minnesota	Pittsburgh	5	89
Arizona	Tampa Bay	10	90
Tampa Bay	Arizona	8	73
N.Y. Jets	Tennessee	10	66
Tennessee	N.Y. Jets	4	30
Philadelphia	Denver	8	62
Denver	Philadelphia	2	25
Washington	Oakland	3	29
Oakland	Washington	4	25
San Diego	Dallas	7	85
Dallas	San Diego	5	33
Atlanta	New England	6	55
New England	Atlanta	9	93
Miami	New Orleans	5	25
New Orleans	Miami	6	45
Cleveland	Buffalo	6	66
Buffalo	Cleveland	7	56
New Orleans	Chicago	2	10
Chicago	New Orleans	6	43
Cincinnati	New England	7	59
Green Bay	Detroit	10	72
Detroit	Green Bay	7	50
Seattle	Indianapolis	7	85
Indianapolis	Seattle	3	35
Miami	Baltimore	4	65
Baltimore	Miami	6	64
Philadelphia	N.Y. Giants	8	88
N.Y. Giants	Philadelphia	12	136
St. Louis	Jacksonville	6	53
Jacksonville	St. Louis	4	45
Tennessee	Kansas City	6	35
Kansas City	Tennessee	9	61
Carolina	Arizona	9	79
Arizona	Carolina	3	30
Denver	Dallas	5	55
Dallas	Denver	9	81
Oakland	San Diego	8	85
San Diego	Oakland	5	30
Houston	San Francisco	7	52
San Francisco	Houston	3	17
N.Y. Jets	Atlanta	6	24
Atlanta	N.Y. Jets	4	46
Chicago	N.Y. Giants	5	51
N.Y. Giants	Chicago	4	31
Baltimore	Green Bay	6	40
Green Bay	Baltimore	8	55
Cincinnati	Buffalo	8	78
Buffalo	Cincinnati	4	27
Cleveland	Detroit	9	87
Detroit	Cleveland	8	65
Houston	St. Louis	7	95
St. Louis	Houston	9	74
Oakland	Kansas City	11	68
Kansas City	Oakland	4	20
Carolina	Minnesota	6	40
Minnesota	Carolina	5	55
Pittsburgh	N.Y. Jets	7	49
N.Y. Jets	Pittsburgh	5	60
Tampa Bay	Philadelphia	8	72
Philadelphia	Tampa Bay	3	31
Denver	Jacksonville	4	31
Jacksonville	Denver	7	62
Seattle	Tennessee	6	65
Tennessee	Seattle	7	44
New Orleans	New England	7	56
New England	New Orleans	4	33
San Francisco	Arizona	4	35
Arizona	San Francisco	6	38
Washington	Dallas	12	104
Dallas	Washington	7	80
San Diego	Indianapolis	5	25
Indianapolis	San Diego	5	28
Arizona	Seattle	3	22
Seattle	Arizona	10	70
Tampa Bay	Atlanta	11	103
Atlanta	Tampa Bay	9	101
St. Louis	Carolina	8	68
Carolina	St. Louis	7	59
Detroit	Cincinnati	4	30
Cincinnati	Detroit	6	50
Cleveland	Green Bay	12	106
Green Bay	Cleveland	10	97
Jacksonville	San Diego	6	45
San Diego	Jacksonville	8	61
Kansas City	Houston	5	24
Houston	Kansas City	4	40
Miami	Buffalo	4	32
Buffalo	Miami	6	53
N.Y. Jets	New England	9	45
New England	N.Y. Jets	7	100
Philadelphia	Dallas	5	33
Dallas	Philadelphia	12	75
Washington	Chicago	5	47
Chicago	Washington	5	30
Tennessee	San Francisco	10	100
San Francisco	Tennessee	5	42
Pittsburgh	Baltimore	7	50
Baltimore	Pittsburgh	9	67
Denver	Indianapolis	12	103
Indianapolis	Denver	6	52
N.Y. Giants	Minnesota	5	72
Minnesota	N.Y. Giants	3	38
Carolina	Tampa Bay	6	59
Tampa Bay	Carolina	3	21
Detroit	Dallas	8	61
Dallas	Detroit	2	31
San Francisco	Jacksonville	4	35
Jacksonville	San Francisco	6	76
Cleveland	Kansas City	9	70
Kansas City	Cleveland	5	31
Miami	New England	7	61
New England	Miami	5	35
Buffalo	New Orleans	6	45
New Orleans	Buffalo	8	59
N.Y. Giants	Philadelphia	11	92
Philadelphia	N.Y. Giants	4	48
Oakland	Pittsburgh	6	39
Pittsburgh	Oakland	3	12
Cincinnati	N.Y. Jets	4	45
N.Y. Jets	Cincinnati	4	69
Arizona	Atlanta	8	52
Atlanta	Arizona	10	55
Denver	Washington	6	57
Washington	Denver	1	5
Minnesota	Green Bay	7	46
Green Bay	Minnesota	6	120
St. Louis	Seattle	8	53
Seattle	St. Louis	10	83
Cincinnati	Miami	3	63
Miami	Cincinnati	2	25
Buffalo	Kansas City	6	48
Kansas City	Buffalo	5	38
Carolina	Atlanta	2	15
Atlanta	Carolina	7	59
Minnesota	Dallas	4	35
Dallas	Minnesota	5	45
N.Y. Jets	New Orleans	8	62
New Orleans	N.Y. Jets	9	59
St. Louis	Tennessee	6	44
Tennessee	St. Louis	3	30
San Diego	Washington	7	63
Washington	San Diego	7	65
Oakland	Philadelphia	8	70
Philadelphia	Oakland	7	52
Seattle	Tampa Bay	6	67
Tampa Bay	Seattle	8	99
Baltimore	Cleveland	9	80
Cleveland	Baltimore	6	55
New England	Pittsburgh	3	30
Pittsburgh	New England	8	96
Indianapolis	Houston	3	15
Houston	Indianapolis	5	86
Chicago	Green Bay	4	45
Green Bay	Chicago	0	0
Minnesota	Washington	1	7
Washington	Minnesota	8	63
Atlanta	Seattle	1	15
Seattle	Atlanta	9	80
Cincinnati	Baltimore	9	134
Baltimore	Cincinnati	8	65
Detroit	Chicago	5	51
Chicago	Detroit	5	39
Green Bay	Philadelphia	5	31
Philadelphia	Green Bay	5	65
St. Louis	Indianapolis	8	46
Indianapolis	St. Louis	2	20
Oakland	N.Y. Giants	8	65
N.Y. Giants	Oakland	1	5
Buffalo	Pittsburgh	4	30
Pittsburgh	Buffalo	6	42
Tennessee	Jacksonville	6	45
Jacksonville	Tennessee	4	19
San Francisco	Carolina	4	25
Carolina	San Francisco	3	25
Houston	Arizona	7	53
Arizona	Houston	5	29
San Diego	Denver	6	40
Denver	San Diego	3	28
Dallas	New Orleans	11	82
New Orleans	Dallas	6	44
Tampa Bay	Miami	9	70
Miami	Tampa Bay	4	70
Indianapolis	Tennessee	5	51
Tennessee	Indianapolis	4	34
Buffalo	N.Y. Jets	8	64
N.Y. Jets	Buffalo	4	24
Chicago	Baltimore	13	111
Baltimore	Chicago	5	46
Cincinnati	Cleveland	8	64
Cleveland	Cincinnati	5	40
Oakland	Houston	8	77
Houston	Oakland	9	50
Arizona	Jacksonville	5	42
Jacksonville	Arizona	6	40
San Diego	Miami	10	76
Miami	San Diego	3	15
Philadelphia	Washington	9	68
Washington	Philadelphia	4	39
Pittsburgh	Detroit	4	23
Detroit	Pittsburgh	8	45
Atlanta	Tampa Bay	7	45
Tampa Bay	Atlanta	11	121
Kansas City	Denver	9	53
Denver	Kansas City	13	82
New Orleans	San Francisco	4	48
San Francisco	New Orleans	5	45
Minnesota	Seattle	4	20
Seattle	Minnesota	7	96
Green Bay	N.Y. Giants	5	38
N.Y. Giants	Green Bay	3	30
New England	Carolina	5	50
Carolina	New England	7	47
New Orleans	Atlanta	5	66
Atlanta	New Orleans	3	25
Baltimore	N.Y. Jets	5	41
N.Y. Jets	Baltimore	6	56
Cleveland	Pittsburgh	2	10
Pittsburgh	Cleveland	2	8
Tampa Bay	Detroit	9	67
Detroit	Tampa Bay	5	39
Green Bay	Minnesota	7	50
Minnesota	Green Bay	5	53
Jacksonville	Houston	7	63
Houston	Jacksonville	2	22
San Diego	Kansas City	9	97
Kansas City	San Diego	7	62
Carolina	Miami	8	56
Miami	Carolina	6	55
Chicago	St. Louis	10	84
St. Louis	Chicago	6	39
Arizona	Indianapolis	9	84
Indianapolis	Arizona	6	89
Tennessee	Oakland	10	100
Oakland	Tennessee	4	50
N.Y. Giants	Dallas	11	81
Dallas	N.Y. Giants	11	85
New England	Denver	5	36
Denver	New England	9	85
San Francisco	Washington	4	25
Washington	San Francisco	4	30
Detroit	Green Bay	5	50
Green Bay	Detroit	3	25
Oakland	Dallas	10	71
Dallas	Oakland	6	40
Baltimore	Pittsburgh	9	55
Pittsburgh	Baltimore	4	51
Carolina	Tampa Bay	3	25
Tampa Bay	Carolina	4	30
Cleveland	Jacksonville	9	50
Jacksonville	Cleveland	5	35
Indianapolis	Tennessee	7	50
Tennessee	Indianapolis	6	74
Kansas City	Denver	9	102
Denver	Kansas City	10	75
Chicago	Minnesota	6	51
Minnesota	Chicago	6	60
Miami	N.Y. Jets	3	28
N.Y. Jets	Miami	4	25
Philadelphia	Arizona	5	48
Arizona	Philadelphia	6	55
Atlanta	Buffalo	8	75
Buffalo	Atlanta	6	49
San Francisco	St. Louis	9	85
St. Louis	San Francisco	11	105
Houston	New England	2	25
Cincinnati	San Diego	3	30
San Diego	Cincinnati	5	45
N.Y. Giants	Washington	1	1
Washington	N.Y. Giants	8	55
Seattle	New Orleans	8	66
New Orleans	Seattle	7	52
Houston	Jacksonville	14	177
Jacksonville	Houston	8	57
Minnesota	Baltimore	6	90
Baltimore	Minnesota	5	45
Cincinnati	Indianapolis	7	60
Indianapolis	Cincinnati	6	47
Cleveland	New England	7	75
New England	Cleveland	6	41
N.Y. Jets	Oakland	4	36
Oakland	N.Y. Jets	4	31
New Orleans	Carolina	5	45
Carolina	New Orleans	5	35
Detroit	Philadelphia	9	48
Philadelphia	Detroit	1	5
Pittsburgh	Miami	5	34
Miami	Pittsburgh	4	31
Tampa Bay	Buffalo	8	76
Buffalo	Tampa Bay	11	114
Washington	Kansas City	4	27
Kansas City	Washington	3	30
Tennessee	Denver	8	66
Denver	Tennessee	7	60
St. Louis	Arizona	11	90
Arizona	St. Louis	6	31
N.Y. Giants	San Diego	7	72
San Diego	N.Y. Giants	6	30
Seattle	San Francisco	9	85
San Francisco	Seattle	7	70
Atlanta	Green Bay	3	15
Green Bay	Atlanta	2	10
Chicago	Dallas	2	15
Dallas	Chicago	4	50
Denver	San Diego	6	43
San Diego	Denver	4	35
Washington	Atlanta	9	66
Atlanta	Washington	7	73
Chicago	Cleveland	7	40
Cleveland	Chicago	9	90
Houston	Indianapolis	14	114
Indianapolis	Houston	4	36
Buffalo	Jacksonville	7	67
Jacksonville	Buffalo	6	80
Miami	New England	4	21
New England	Miami	1	2
Minnesota	Philadelphia	3	25
Philadelphia	Minnesota	9	94
Seattle	N.Y. Giants	8	50
N.Y. Giants	Seattle	5	38
St. Louis	New Orleans	4	30
New Orleans	St. Louis	8	77
San Francisco	Tampa Bay	8	62
Tampa Bay	San Francisco	4	32
Tennessee	Arizona	3	16
Arizona	Tennessee	9	69
N.Y. Jets	Carolina	3	20
Carolina	N.Y. Jets	6	59
Oakland	Kansas City	10	90
Kansas City	Oakland	8	91
Green Bay	Dallas	7	59
Dallas	Green Bay	7	79
Cincinnati	Pittsburgh	6	50
Pittsburgh	Cincinnati	4	25
Baltimore	Detroit	7	60
Detroit	Baltimore	8	89
Miami	Buffalo	6	37
Buffalo	Miami	4	31
New Orleans	Carolina	4	40
Carolina	New Orleans	3	26
Minnesota	Cincinnati	5	40
Cincinnati	Minnesota	6	55
Denver	Houston	8	67
Houston	Denver	4	57
Jacksonville	Tennessee	4	15
Tennessee	Jacksonville	1	4
Indianapolis	Kansas City	3	31
Kansas City	Indianapolis	7	65
N.Y. Jets	Cleveland	6	35
Cleveland	N.Y. Jets	3	24
Chicago	Philadelphia	2	10
Philadelphia	Chicago	2	15
St. Louis	Tampa Bay	7	85
Tampa Bay	St. Louis	3	26
Washington	Dallas	8	44
Dallas	Washington	6	42
Detroit	N.Y. Giants	7	60
N.Y. Giants	Detroit	5	30
Seattle	Arizona	9	102
Arizona	Seattle	7	46
Pittsburgh	Green Bay	7	58
Green Bay	Pittsburgh	9	90
Oakland	San Diego	12	73
San Diego	Oakland	3	24
Baltimore	New England	9	83
New England	Baltimore	7	58
Atlanta	San Francisco	5	37
San Francisco	Atlanta	7	45
Atlanta	Carolina	5	56
Carolina	Atlanta	4	38
Green Bay	Chicago	1	15
Chicago	Green Bay	5	40
Cincinnati	Baltimore	10	76
Baltimore	Cincinnati	6	56
Philadelphia	Dallas	6	50
Dallas	Philadelphia	1	5
Jacksonville	Indianapolis	5	50
Indianapolis	Jacksonville	2	10
Miami	N.Y. Jets	5	38
N.Y. Jets	Miami	5	36
Detroit	Minnesota	6	52
Minnesota	Detroit	4	25
Buffalo	New England	6	54
New England	Buffalo	4	31
Tampa Bay	New Orleans	8	78
New Orleans	Tampa Bay	9	94
Washington	N.Y. Giants	3	30
N.Y. Giants	Washington	3	20
Pittsburgh	Cleveland	2	15
Cleveland	Pittsburgh	3	30
Tennessee	Houston	7	76
Houston	Tennessee	5	55
San Francisco	Arizona	4	20
Arizona	San Francisco	3	30
Oakland	Denver	2	10
Denver	Oakland	6	56
San Diego	Kansas City	4	22
